## DECA's published weights, tier splits, labels and incompatibilities,
## for every enchantment this program also holds.
##
## Source: the "Equipment Rarity Public List" spreadsheet, read as CSV.
##   https://docs.google.com/spreadsheets/d/1lZRkY3kr0IFD6vKqfMqF56LlSy7rtNzf-w2JxBVAs9k
##
## Refresh with: node tools/fetch-deca.js --freeze
## The test suite compares against this copy, so it needs no network.
##
## A tiered enchantment is four rows in the sheet and one record here; the
## weight below is the sum of its tiers and the split their proportions.
##
## Format: Name|Weight|TierSplit|Labels|IncompatibleLabels

Defense -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Defense -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Defense Bonus|100000|0.35000 0.30000 0.20000 0.15000|DEFENSE,FLATBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Defense and Dexterity Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DEXTERITY,DUALSTAT,FLATBONUS,ROLLABLE,STAT|DUALSTAT
Defense and Life Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,FLATBONUS,LIFE,ROLLABLE,STAT|DUALSTAT
Defense and Mana Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,FLATBONUS,MANA,ROLLABLE,STAT|DUALSTAT
Defense and Speed Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,FLATBONUS,ROLLABLE,SPEED,STAT|DUALSTAT
Defense and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,FLATBONUS,ROLLABLE,STAT,VITALITY|DUALSTAT
Defense and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,FLATBONUS,ROLLABLE,STAT,WISDOM|DUALSTAT
Defense to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Defense to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Defense to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Defense to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Defense to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Defense to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Defense to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Dexterity -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Dexterity -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Dexterity -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Dexterity -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Dexterity Bonus|100000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,FLATBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Dexterity and Life Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,FLATBONUS,LIFE,ROLLABLE,STAT|DUALSTAT
Dexterity and Mana Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,FLATBONUS,MANA,ROLLABLE,STAT|DUALSTAT
Dexterity and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,FLATBONUS,ROLLABLE,STAT,VITALITY|DUALSTAT
Dexterity and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,FLATBONUS,ROLLABLE,STAT,WISDOM|DUALSTAT
Dexterity to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Dexterity to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Dexterity to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Dexterity to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Dexterity to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Dexterity to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Dexterity to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Draconic Gaze|7500||AWAKENED,DAMAGING,DUALSTAT,ROLLABLE|AWAKENED,DAMAGING,DUALSTAT
Drake Warden|7500||AWAKENED,DUALSTAT,FLATBONUS,ROLLABLE,STAT,SUMMON|AWAKENED,DUALSTAT,SUMMON
Dust Bonus|200000|0.35000 0.30000 0.20000 0.15000|DUST,REWARD,REWARDBONUS,ROLLABLE|REWARDBONUS
Dust Loot Bonus|200000|0.35000 0.30000 0.20000 0.15000|DUALREWARDBONUS,DUST,LOOT,REWARD,ROLLABLE|DUALREWARDBONUS
El Dorado's Legacy|7500||AWAKENED,DUALSTAT,MAGIC,ROLLABLE|AWAKENED,DUALSTAT,MAGIC
Eye of the Spider|7500||AWAKENED,BULLETCREATE,DAMAGE,DUALSTAT,ROLLABLE|AWAKENED,BULLETCREATE,DUALSTAT
FireRate -Damage Tradeoff|100000|0.35000 0.30000 0.20000 0.15000|DAMAGE,ROLLABLE,TRADEOFF,WEAPON,WEAPONFIRERATE|WEAPONDAMAGE,WEAPONFIRERATE
FireRate Bonus|200000|0.35000 0.30000 0.20000 0.15000|DAMAGE,ROLLABLE,WEAPON,WEAPONFIRERATE|WEAPONDAMAGE,WEAPONFIRERATE
Flat Life Regeneration|200000|0.35000 0.30000 0.20000 0.15000|ARMOR,FLATREGEN,LIFEREGEN,RECOVERY,ROLLABLE|LIFEREGEN
Flat Mana Regeneration|200000|0.35000 0.30000 0.20000 0.15000|ARMOR,FLATREGEN,MANAREGEN,RECOVERY,ROLLABLE|MANAREGEN
Flurry of Blows|2000||DAMAGE,ROLLABLE,TRADEOFF,UNIQUE,WEAPON,WEAPONFIRERATE|UNIQUE,WEAPONDAMAGE,WEAPONFIRERATE
Fractured Blade|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Hellfire Edge|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
High Voltage|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Infernal Anger|7500||ATTACK,AWAKENED,DAMAGERESISTANCE,DURABILITY,ROLLABLE,SINGLESTAT|AWAKENED,DAMAGERESISTANCE,SINGLESTAT
Jester's Trick|2000||DUALSTAT,FLATBONUS,ROLLABLE,STAT,UNIQUE|DUALSTAT,UNIQUE
Kogbold Spirit|7500||AWAKENED,OHSHOOTSTAT,PROCATTACK,PROCDEXTERITY,ROLLABLE|AWAKENED,ONSHOOTSTAT,PROCATTACK,PROCDEXTERITY
Life -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Life -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Life -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Life -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,MANA,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Life -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Life -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Life -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Life Bonus|100000|0.35000 0.30000 0.20000 0.15000|FLATBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Life and Speed Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,LIFE,ROLLABLE,SPEED,STAT|DUALSTAT
Life and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,LIFE,ROLLABLE,STAT,VITALITY|DUALSTAT
Life and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,LIFE,ROLLABLE,STAT,WISDOM|DUALSTAT
Life to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Life to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Life to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Life to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Life to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Life to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Life to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Living Hive|7500||AWAKENED,DUALSTAT,ROLLABLE,SUMMON|AWAKENED,DUALSTAT
Loot Bonus|200000|0.35000 0.30000 0.20000 0.15000|LOOT,REWARD,REWARDBONUS,ROLLABLE|REWARDBONUS
Lucky Streak|2000||DUALREWARDBONUS,REWARD,ROLLABLE,UNIQUE|DUALREWARDBONUS,UNIQUE
MP Cost Reduction|200000|0.35000 0.30000 0.20000 0.15000|ABILITY,CASTING,MPCOSTREDUCTION,ROLLABLE|MPCOSTREDUCTION,STATMODMULT
Mana -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Mana -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEXTERITY,DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Mana -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Mana -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Mana -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Mana Bonus|100000|0.35000 0.30000 0.20000 0.15000|FLATBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Mana and Life Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,LIFE,MANA,ROLLABLE,STAT|DUALSTAT
Mana and Speed Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,MANA,ROLLABLE,SPEED,STAT|DUALSTAT
Mana and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,MANA,ROLLABLE,STAT,VITALITY|DUALSTAT
Mana and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|DUALSTAT,FLATBONUS,MANA,ROLLABLE,STAT,WISDOM|DUALSTAT
Mana to Attack Bonus|12000|0.36458 0.31250 0.20833 0.11458|ATTACK,CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Mana to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Mana to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Mana to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Mana to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Mana to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Mana to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Masked God's Dance|7500||AWAKENED,DEXTERITY,FLATBONUS,ROLLABLE,SINGLESTAT,STAT|AWAKENED,SINGLESTAT
Mermaid Magic|2000||FLATBONUS,MANA,ROLLABLE,SINGLESTAT,STAT,UNIQUE|SINGLESTAT,UNIQUE
Molecular Blade|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Necrotic Knowledge|7500||AWAKENED,CASTING,MPCOSTREDUCTION,RELATIVEBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|AWAKENED,SINGLESTAT
Night's Soul|7500||AWAKENED,DUALREWARDBONUS,DUALSTAT,FLATBONUS,ROLLABLE|AWAKENED,DUALREWARDBONUS,DUALSTAT
Night's Strength|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE
Night's Tenacity|7500||AWAKENED,DAMAGERESISTANCE,DURABILITY,FLATBONUS,LIFE,ROLLABLE,SINGLESTAT|AWAKENED,DAMAGERESISTANCE,SINGLESTAT
Night's Wisdom|7500||AWAKENED,CASTING,DEFENSE,DUALSTAT,FLATBONUS,MPCOSTREDUCTION,ROLLABLE,WISDOM|AWAKENED,DUALSTAT,MPCOSTREDUCTION,STATMODMULT
OnAbility Attack Boost|100000|0.35000 0.30000 0.20000 0.15000|ABILITY,ATTACK,ONABILITY,ONABILITYSTAT,PROC,PROCATTACK,RING,ROLLABLE,STATBOOST|ONABILITYSTAT,PROCATTACK
OnAbility Defense Boost|100000|0.35000 0.30000 0.20000 0.15000|ABILITY,DEFENSE,ONABILITY,ONABILITYSTAT,PROC,PROCDEFENSE,RING,ROLLABLE,STATBOOST|ONABILITYSTAT,PROCDEFENSE
OnAbility Dexterity Boost|100000|0.35000 0.30000 0.20000 0.15000|ABILITY,DEXTERITY,ONABILITY,ONABILITYSTAT,PROC,PROCDEXTERITY,RING,ROLLABLE,STATBOOST|ONABILITYSTAT,PROCDEXTERITY
OnAbility Heal|50000|0.35000 0.30000 0.20000 0.15000|ABILITY,HEAL,ONABILITY,PROC,RECOVERY,RING,ROLLABLE|HEAL
OnAbility Magic|50000|0.35000 0.30000 0.20000 0.15000|ABILITY,MAGIC,ONABILITY,PROC,RECOVERY,RING,ROLLABLE|MAGIC
OnAbility Vitality Boost|100000|0.35000 0.30000 0.20000 0.15000|ABILITY,ONABILITY,ONABILITYSTAT,PROC,PROCVITALITY,RING,ROLLABLE,STATBOOST,VITALITY|ONABILITYSTAT,PROCVITALITY
OnAbility Wisdom Boost|100000|0.35000 0.30000 0.20000 0.15000|ABILITY,ONABILITY,ONABILITYSTAT,PROC,PROCWISDOM,RING,ROLLABLE,STATBOOST,WISDOM|ONABILITYSTAT,PROCWISDOM
OnHit Armored|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,ARMORED,ONHIT,PROC,RING,ROLLABLE|ARMORED
OnHit Attack Boost|100000|0.35000 0.30000 0.20000 0.15000|ARMOR,ATTACK,ONHIT,ONHITSTAT,PROC,PROCATTACK,RING,ROLLABLE,STATBOOST|ONHITSTAT,PROCATTACK
OnHit Berserk|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,BERSERK,ONHIT,PROC,RING,ROLLABLE|BERSERK
OnHit Damaging|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,DAMAGING,ONHIT,PROC,RING,ROLLABLE|DAMAGING
OnHit Defense Boost|100000|0.35000 0.30000 0.20000 0.15000|ARMOR,DEFENSE,ONHIT,ONHITSTAT,PROC,PROCDEFENSE,RING,ROLLABLE,STATBOOST|ONHITSTAT,PROCDEFENSE
OnHit Dexterity Boost|100000|0.35000 0.30000 0.20000 0.15000|ARMOR,DEXTERITY,ONHIT,ONHITSTAT,PROC,PROCDEXTERITY,RING,ROLLABLE,STATBOOST|ONHITSTAT,PROCDEXTERITY
OnHit Energized|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,ENERGIZED,ONHIT,PROC,RECOVERY,RING,ROLLABLE|ENERGIZED
OnHit Healing|50000|0.35000 0.30000 0.20000 0.15000|ARMOR,HEALING,ONHIT,PROC,RECOVERY,RING,ROLLABLE|HEALING
